Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Período:2015
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Ign";"Total"
"A02   Outr infecc p/Salmonella";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A04   Outr infecc intestinais bacter";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2
"A09   Diarreia e gastroenterite orig infecc presum";2;0;0;0;0;0;0;0;0;0;1;1;1;2;3;0;5;3;2;0;0;0;20
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;2;0;1;1;0;3;2;4;1;1;3;0;0;2;0;0;0;0;20
"A27   Leptospirose";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"A31   Infecc dev outr micobacterias";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"A32   Listeriose";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2
"A35   Outr tipos de tetano";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"A41   Outr septicemias";1;1;0;0;0;0;0;2;2;1;0;6;2;5;10;11;7;12;5;2;0;0;67
"A46   Erisipela";0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;2;0;1;0;0;8
"A48   Outr doenc bacter NCOP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;3
"A49   Infecc bacter de localiz NE";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A50   Sifilis congen";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
