Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;
Período:2021;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Total
A04   Outr infecc intestinais bacter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2
A08   Infecc intestinais virais outr e as NE;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
A09   Diarreia e gastroenterite orig infecc presum;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;3;4;4;3;0;0;18
A15   Tuberc respirat c/conf bacteriol e histolog;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;5
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;1;0;1;0;4;3;2;4;1;0;0;0;0;0;0;0;16
A18   Tuberc de outr orgaos;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
A31   Infecc dev outr micobacterias;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
A39   Infecc meningogocica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
A41   Outr septicemias;3;0;0;1;0;0;1;2;3;6;3;8;14;10;11;7;11;9;13;2;0;104
A46   Erisipela;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;1;1;2;4;0;1;13
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2
A49   Infecc bacter de localiz NE;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
A77   Febre maculosa;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
A81   Infecc p/virus atipicos sist nervoso central;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
A87   Meningite viral;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
A98   Outr febres hemorragicas p/virus NCOP;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
B00   Infecc p/virus do herpes;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;3
B02   Herpes zoster;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
B16   Hepatite aguda B;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
B18   Hepatite viral cronica;0;0;0;0;0;0;0;0;0;1;2;6;5;2;0;1;2;0;0;0;0;19
B20   Doenc p/HIV result doenc infecc e parasit;0;0;0;0;3;5;5;4;6;5;7;4;2;0;1;1;0;0;0;0;0;43
B21   Doenc p/HIV result em neopl malig;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;5
B24   Doenc p/HIV NE;0;0;0;0;0;0;0;0;4;2;4;1;1;1;0;1;0;0;0;0;0;14
B34   Doenc p/virus de localiz NE;1;1;1;5;8;32;45;99;129;158;228;314;397;378;409;333;294;224;150;33;11;3250
B40   Blastomicose;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
B44   Aspergilose;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
B45   Criptococose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
B57   Doenc de Chagas;0;0;0;0;0;0;0;0;1;2;2;2;5;4;5;9;8;3;1;0;0;42
B90   Sequelas de tuberc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
