Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Sexo: Feminino
Período:2012
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Total"
"A05   Outr intox alimentares bacter NCOP";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A09   Diarreia e gastroenterite orig infecc presum";0;0;0;0;0;0;1;0;1;0;1;1;0;1;3;0;2;1;1;0;0;12
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"A39   Infecc meningogocica";1;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5
"A41   Outr septicemias";1;0;0;0;0;0;0;0;0;2;0;2;0;3;3;4;5;6;2;1;0;29
"A46   Erisipela";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;3
"A86   Encefalite viral NE";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B18   Hepatite viral cronica";0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;2;4;1;0;0;0;13
"B20   Doenc p/HIV result doenc infecc e parasit";0;0;0;0;0;0;2;4;2;5;1;0;0;0;0;0;0;0;0;0;0;14
"B21   Doenc p/HIV result em neopl malig";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B22   Doenc p/HIV result em outr doenc espec";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
"B57   Doenc de Chagas";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;4;0;0;0;0;8
"B87   Miiase";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"C01   Neopl malig da base da lingua";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
"C02   Neopl malig outr partes e NE da lingua";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;3
"C06   Neopl malig outr partes e partes NE da boca";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"C07   Neopl malig da gland parotida";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
"C08   Neopl malig outr gland saliv maiores e NE";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"C09   Neopl malig da amigdala";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"C10   Neopl malig da orofaringe";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2
"C11   Neopl malig da nasofaringe";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"C15   Neopl malig do esofago";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;3
"C16   Neopl malig do estomago";0;0;0;0;0;0;0;2;0;4;2;2;1;4;4;5;3;3;2;1;0;33
"C18   Neopl malig do colon";0;0;0;0;0;0;0;1;1;3;4;4;4;3;12;3;8;3;3;0;0;49
"C19   Neopl malig da juncao retossigmoide";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
"C20   Neopl malig do reto";0;0;0;0;0;0;0;0;0;1;1;0;1;0;3;2;3;0;0;0;0;11
"C22   Neopl malig figado vias biliares intra-hepat";0;0;0;0;0;0;0;0;0;0;1;2;1;3;5;7;3;1;0;0;0;23
"C24   Neopl malig outr partes e NE vias biliares";0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;4;0;0;0;8
"C25   Neopl malig do pancreas";0;0;0;0;0;0;0;0;0;1;2;4;3;4;8;8;10;1;3;0;0;44
"C26   Neopl malig outr mal def aparelho digestivo";0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;1;1;0;0;0;6
"C31   Neopl malig dos seios da face";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"C32   Neopl malig da laringe";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2
"C34   Neopl malig dos bronquios e dos pulmoes";0;0;0;0;0;0;0;0;1;4;3;6;7;5;12;5;3;1;1;1;0;49
"C38   Neopl malig do coracao mediastino e pleura";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;3
"C40   Neopl malig ossos/cartilag artic membros";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"C41   Neopl malig ossos/cartil artic outr loc e NE";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;4
"C43   Melanoma malig da pele";0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;1;0;0;0;6
"C44   Outr neopl malig da pele";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;3
"C45   Mesotelioma";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
"C48   Neopl malig tec moles retro- e peritonio";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;4
"C49   Neopl malig tec conjuntivo e outr tec moles";0;0;1;0;0;0;0;0;0;1;2;1;1;0;1;0;1;0;0;0;0;8
"C50   Neopl malig da mama";0;0;0;0;0;0;4;3;9;2;11;12;13;8;10;7;9;8;6;2;2;106
"C51   Neopl malig da vulva";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;3
"C53   Neopl malig do colo do utero";0;0;0;0;0;0;0;1;0;0;2;2;2;2;0;1;4;1;0;0;0;15
"C54   Neopl malig do corpo do utero";0;0;0;0;0;0;0;0;0;0;0;1;2;3;4;0;1;2;0;0;0;13
"C55   Neopl malig do utero porcao NE";0;0;0;0;0;0;0;0;0;0;1;1;5;0;3;2;5;0;0;0;0;17
"C56   Neopl malig do ovario";0;0;0;0;0;0;0;0;1;2;6;1;6;6;1;4;1;0;0;0;0;28
"C57   Neopl malig outr org genitais femin e NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"C64   Neopl malig do rim exceto pelve renal";0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;1;1;0;1;0;0;7
