Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;
Sexo: Feminino;;;;;;;;;;;;;;;;;;;;;;
Período:2020;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Total
A04   Outr infecc intestinais bacter;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;4
A09   Diarreia e gastroenterite orig infecc presum;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;2;3;2;3;0;14
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3
A39   Infecc meningogocica;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
A41   Outr septicemias;1;0;0;0;0;0;0;0;0;0;0;3;4;3;3;6;4;5;0;2;0;31
A46   Erisipela;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;3;1;0;9
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
A49   Infecc bacter de localiz NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
A52   Sifilis tard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
A77   Febre maculosa;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
A81   Infecc p/virus atipicos sist nervoso central;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2
A87   Meningite viral;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
B00   Infecc p/virus do herpes;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
B02   Herpes zoster;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2
B16   Hepatite aguda B;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2
B18   Hepatite viral cronica;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;5
B19   Hepatite viral NE;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
B20   Doenc p/HIV result doenc infecc e parasit;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B34   Doenc p/virus de localiz NE;0;1;0;0;1;5;6;7;8;15;33;37;63;91;83;80;69;86;56;16;7;664
B57   Doenc de Chagas;0;0;0;0;0;0;1;0;0;2;1;0;1;3;4;4;2;0;2;0;0;20
B67   Equinococose;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
B69   Cisticercose;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
B90   Sequelas de tuberc;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B94   Sequelas de outr doenc infecc e parasit e NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
C02   Neopl malig outr partes e NE da lingua;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2
C06   Neopl malig outr partes e partes NE da boca;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2
C07   Neopl malig da gland parotida;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
C09   Neopl malig da amigdala;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
C10   Neopl malig da orofaringe;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
C12   Neopl malig do seio piriforme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
C14   Neop mal out loc mal def labio cav oral far;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
C15   Neopl malig do esofago;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;1;1;0;0;0;0;7
C16   Neopl malig do estomago;0;0;0;0;0;0;0;1;1;3;4;3;2;5;3;3;1;2;0;0;0;28
C17   Neopl malig do intestino delgado;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;4
C18   Neopl malig do colon;0;0;0;0;0;0;0;0;1;1;6;5;9;9;9;5;8;5;4;0;0;62
C19   Neopl malig da juncao retossigmoide;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2
C20   Neopl malig do reto;0;0;0;0;0;0;0;0;3;1;0;1;6;5;2;3;5;1;1;0;0;28
C21   Neopl malig do anus e do canal anal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2
C22   Neopl malig figado vias biliares intra-hepat;0;0;0;0;0;0;0;0;0;2;0;0;3;1;5;3;5;2;0;1;0;22
C23   Neopl malig da vesicula biliar;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2
C24   Neopl malig outr partes e NE vias biliares;0;0;0;0;0;0;0;1;0;1;1;3;1;2;0;1;1;3;0;0;0;14
C25   Neopl malig do pancreas;0;0;0;0;0;1;0;0;0;0;3;4;6;8;10;5;4;6;2;0;0;49
C26   Neopl malig outr mal def aparelho digestivo;0;0;0;0;0;0;0;0;1;1;1;2;4;0;4;2;0;2;2;0;0;19
C32   Neopl malig da laringe;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;0;0;0;0;6
C34   Neopl malig dos bronquios e dos pulmoes;0;0;0;0;0;0;0;0;1;5;3;7;12;8;11;18;5;6;3;0;0;79
C38   Neopl malig do coracao mediastino e pleura;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;3
C41   Neopl malig ossos/cartil artic outr loc e NE;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;5
C43   Melanoma malig da pele;0;0;0;0;0;0;0;0;0;0;1;2;4;2;0;0;3;0;0;0;0;12
C44   Outr neopl malig da pele;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;2;1;8
C45   Mesotelioma;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2
C48   Neopl malig tec moles retro- e peritonio;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;5
C49   Neopl malig tec conjuntivo e outr tec moles;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3
C50   Neopl malig da mama;0;0;0;0;0;1;2;0;9;6;9;13;14;18;12;10;11;9;4;4;0;122
C51   Neopl malig da vulva;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
C53   Neopl malig do colo do utero;0;0;0;0;0;2;1;4;0;3;5;2;1;1;2;1;2;1;1;0;0;26
C54   Neopl malig do corpo do utero;0;0;0;0;0;1;0;1;0;1;1;3;4;2;0;1;2;0;2;1;0;19
C55   Neopl malig do utero porcao NE;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;3;0;0;0;0;11
C56   Neopl malig do ovario;0;0;0;0;0;1;0;0;0;1;2;6;3;3;2;4;0;1;0;1;0;24
C64   Neopl malig do rim exceto pelve renal;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;5
C66   Neopl malig dos ureteres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
C67   Neopl malig da bexiga;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;1;0;0;7
C71   Neopl malig do encefalo;0;1;0;0;0;0;1;1;0;2;1;2;6;2;4;4;0;2;0;0;0;26
C72   Neop mal med esp nerv cran out sist nerv cen;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2
C73   Neopl malig da gland tireoide;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;2;0;0;0;5
C74   Neopl malig da gland supra-renal;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2
C75   Neopl malig outr gland endocrinas estr relac;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
C76   Neopl malig outr localiz e mal definidas;0;0;0;0;0;0;0;0;1;0;0;1;3;0;1;0;1;2;0;0;0;9
C77   Neopl malig secund e NE gangl linfaticos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
C78   Neopl malig secund org respirat e digestivos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
C80   Neopl malig s/especificacao de localiz;0;0;0;0;0;1;0;1;0;0;2;4;1;5;2;4;1;5;0;1;0;27
C81   Doenc de Hodgkin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
C85   Linfoma nao-Hodgkin de outr tipos e tipo NE;0;0;0;0;1;0;0;0;0;0;0;1;2;0;3;1;1;1;3;0;0;13
C90   Mieloma mult e neopl malig de plasmocitos;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;1;5;4;1;0;0;21
C91   Leucemia linfoide;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;2;2;0;0;0;8
C92   Leucemia mieloide;0;0;0;0;0;0;0;0;2;0;0;1;0;2;2;2;3;0;1;0;0;13
C95   Leucemia de tipo celular NE;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;1;0;1;0;0;6
D21   Outr neopl benig tec conj e outr tec moles;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
D27   Neopl benig do ovario;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
D32   Neopl benig das meninges;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
D33   Neopl benig encef e out part sist nerv centr;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
D37   Neopl comp incerto/desc cav oral e org dig;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
D38   Neopl comp inc/desc ouv med org resp intrat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2
D42   Neopl comp incerto/desconhecido meninges;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
D43   Neopl comp inc/desc encefalo sist nerv centr;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
D46   Sindr mielodisplasicas;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2;0;1;1;0;1;0;8
D47   Out neop comp inc/des tec linf hemat tec cor;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
D48   Neopl comp inc/desconh outr localiz e NE;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3
D61   Outr anemias aplasticas;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;4
D62   Anemia aguda pos-hemorragica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
D64   Outr anemias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
D68   Outr defeitos da coagulacao;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;4
D69   Purpura e outr afeccoes hemorragicas;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
D75   Outr doenc sangue e orgaos hematopoeticos;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
D84   Outr imunodeficiencias;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
E03   Outr hipotireoidismos;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;4
E05   Tireotoxicose;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
E10   Diabetes mellitus insulino-dependente;0;0;0;0;0;0;0;1;0;1;1;2;1;1;0;0;0;1;0;0;0;8
