Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Sexo: Masculino
Período:2010
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Total"
"A09   Diarreia e gastroenterite orig infecc presum";0;0;0;0;0;0;0;0;1;1;0;0;0;1;2;1;0;3;0;0;0;9
"A15   Tuberc respirat c/conf bacteriol e histolog";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;4
"A27   Leptospirose";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"A37   Coqueluche";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"A39   Infecc meningogocica";1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;6
"A41   Outr septicemias";3;0;0;0;1;0;0;0;1;1;1;0;3;1;4;5;4;1;2;0;0;27
"A46   Erisipela";0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;4
"A48   Outr doenc bacter NCOP";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3
"A49   Infecc bacter de localiz NE";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A52   Sifilis tard";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"A77   Febre maculosa";0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3
"A91   Febre hemorragica dev virus do dengue";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"A98   Outr febres hemorragicas p/virus NCOP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"B01   Varicela";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"B02   Herpes zoster";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"B18   Hepatite viral cronica";0;0;0;0;0;0;0;0;1;4;8;2;2;2;3;2;1;0;0;0;0;25
"B20   Doenc p/HIV result doenc infecc e parasit";0;0;0;0;1;0;4;8;9;2;4;4;2;2;1;0;0;0;0;0;0;37
"B22   Doenc p/HIV result em outr doenc espec";0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;5
"B37   Candidiase";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
"B45   Criptococose";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"B57   Doenc de Chagas";0;0;0;0;0;0;0;0;1;0;3;2;3;3;5;0;2;1;0;0;0;20
"B99   Doenc infecc outr e as NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"C01   Neopl malig da base da lingua";0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;1;0;0;0;0;6
"C02   Neopl malig outr partes e NE da lingua";0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;6
"C05   Neopl malig do palato";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
