Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;
Sexo: Masculino;;;;;;;;;;;;;;;;;;;;;;
Período:2012;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Total
A09   Diarreia e gastroenterite orig infecc presum;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;1;0;0;0;5
A15   Tuberc respirat c/conf bacteriol e histolog;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;3
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;5
A18   Tuberc de outr orgaos;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
A19   Tuberc miliar;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
A27   Leptospirose;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
A39   Infecc meningogocica;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
A41   Outr septicemias;1;1;0;0;0;0;0;0;3;0;2;1;1;2;7;6;3;4;0;0;0;31
A46   Erisipela;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;5
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;6
A77   Febre maculosa;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A86   Encefalite viral NE;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
B00   Infecc p/virus do herpes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
B01   Varicela;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B18   Hepatite viral cronica;0;0;0;0;0;0;1;0;0;8;6;4;4;3;2;1;0;0;0;0;0;29
B19   Hepatite viral NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
B20   Doenc p/HIV result doenc infecc e parasit;0;0;0;0;1;0;4;7;5;9;5;1;2;1;0;0;0;0;0;0;0;35
B21   Doenc p/HIV result em neopl malig;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;5
B24   Doenc p/HIV NE;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3
B57   Doenc de Chagas;0;0;0;0;0;0;0;0;1;0;0;4;0;1;0;4;4;1;0;0;0;15
B90   Sequelas de tuberc;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2
C01   Neopl malig da base da lingua;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2
C02   Neopl malig outr partes e NE da lingua;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;2;1;0;0;0;6
C03   Neopl malig da gengiva;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
C04   Neopl malig do assoalho da boca;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
C05   Neopl malig do palato;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
C06   Neopl malig outr partes e partes NE da boca;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;1;0;0;0;0;5
C10   Neopl malig da orofaringe;0;0;0;0;0;0;0;0;0;1;4;0;0;0;2;0;1;0;0;0;0;8
C11   Neopl malig da nasofaringe;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
C12   Neopl malig do seio piriforme;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
C13   Neopl malig da hipofaringe;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;4
C14   Neop mal out loc mal def labio cav oral far;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;4
C15   Neopl malig do esofago;0;0;0;0;0;0;0;0;2;2;2;8;2;12;4;2;4;0;0;0;0;38
C16   Neopl malig do estomago;0;0;0;0;0;0;2;1;1;1;0;4;6;6;10;13;3;3;0;1;0;51
C17   Neopl malig do intestino delgado;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;3
C18   Neopl malig do colon;0;0;0;0;0;1;0;0;1;2;2;10;12;1;8;8;7;3;0;0;0;55
C19   Neopl malig da juncao retossigmoide;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;3
C20   Neopl malig do reto;0;0;0;0;0;0;1;1;0;1;0;2;3;2;2;2;1;0;0;0;0;15
C21   Neopl malig do anus e do canal anal;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
C22   Neopl malig figado vias biliares intra-hepat;0;0;0;0;0;0;0;0;0;2;5;7;7;5;6;2;4;1;0;1;0;40
C23   Neopl malig da vesicula biliar;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
C24   Neopl malig outr partes e NE vias biliares;0;0;0;0;0;0;0;0;0;0;0;1;2;3;2;1;1;0;0;0;0;10
C25   Neopl malig do pancreas;0;0;0;0;0;1;0;0;1;1;2;3;3;4;5;5;2;0;1;0;0;28
C26   Neopl malig outr mal def aparelho digestivo;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;2;3;0;0;0;8
C32   Neopl malig da laringe;0;0;0;0;0;0;0;0;0;2;7;8;4;4;3;2;0;0;0;0;0;30
C34   Neopl malig dos bronquios e dos pulmoes;0;0;0;0;0;0;1;0;2;2;3;7;14;11;13;13;10;2;2;1;0;81
C38   Neopl malig do coracao mediastino e pleura;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;4
C41   Neopl malig ossos/cartil artic outr loc e NE;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4
C43   Melanoma malig da pele;0;0;0;0;0;0;0;0;2;0;0;1;0;2;2;0;0;0;0;0;0;7
C44   Outr neopl malig da pele;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;3
C48   Neopl malig tec moles retro- e peritonio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2
C49   Neopl malig tec conjuntivo e outr tec moles;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;4
C50   Neopl malig da mama;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
C60   Neopl malig do penis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
C61   Neopl malig da prostata;0;0;0;0;0;0;0;0;0;0;1;1;9;6;14;14;20;7;5;0;0;77
C62   Neopl malig dos testiculos;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
C64   Neopl malig do rim exceto pelve renal;0;0;0;0;0;0;0;0;0;2;2;1;4;4;2;3;1;2;0;0;0;21
C67   Neopl malig da bexiga;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;2;2;0;1;0;0;10
C69   Neopl malig do olho e anexos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
C71   Neopl malig do encefalo;0;1;0;1;0;2;1;1;0;2;0;2;3;2;3;1;1;2;0;0;0;22
C72   Neop mal med esp nerv cran out sist nerv cen;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;5
C73   Neopl malig da gland tireoide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
C74   Neopl malig da gland supra-renal;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
C75   Neopl malig outr gland endocrinas estr relac;0;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;4
C76   Neopl malig outr localiz e mal definidas;0;0;0;0;0;0;0;0;1;2;0;2;2;1;1;3;2;0;0;0;0;14
C78   Neopl malig secund org respirat e digestivos;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;3
C79   Neopl malig secund de outr localiz;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
C80   Neopl malig s/especificacao de localiz;0;0;0;0;0;0;0;0;0;0;1;2;3;2;3;1;1;0;0;0;0;13
C81   Doenc de Hodgkin;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
C83   Linfoma nao-Hodgkin difuso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
C84   Linfomas de celulas T cutaneas e perifericas;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
C85   Linfoma nao-Hodgkin de outr tipos e tipo NE;0;0;0;0;0;0;1;2;0;0;4;4;1;1;1;1;2;2;0;0;0;19
C90   Mieloma mult e neopl malig de plasmocitos;0;0;0;0;0;0;0;0;0;0;1;1;2;4;1;2;3;0;1;0;0;15
C91   Leucemia linfoide;0;0;0;0;1;0;1;0;1;1;0;0;1;2;1;1;0;0;0;0;0;9
C92   Leucemia mieloide;0;0;0;0;0;0;0;1;1;0;3;2;2;1;2;3;1;2;0;0;0;18
C95   Leucemia de tipo celular NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
D18   Hemangioma e linfangioma de qualquer localiz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
D32   Neopl benig das meninges;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2
D38   Neopl comp inc/desc ouv med org resp intrat;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
D44   Neopl comp incerto/desconh gland endocrinas;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
D46   Sindr mielodisplasicas;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;0;0;0;0;5
D47   Out neop comp inc/des tec linf hemat tec cor;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
D53   Outr anemias nutricionais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2
D61   Outr anemias aplasticas;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2
D65   Coagulacao intravascular disseminada;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
D68   Outr defeitos da coagulacao;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
D69   Purpura e outr afeccoes hemorragicas;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
D76   Alg doenc q env tec linforr e sist reticuloh;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
E03   Outr hipotireoidismos;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
E10   Diabetes mellitus insulino-dependente;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
E11   Diabetes mellitus nao-insulino-dependemte;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;2;2;1;0;0;0;9
E12   Diabetes mellitus relac c/a desnutr;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
E14   Diabetes mellitus NE;0;0;0;0;0;0;0;0;1;1;7;6;7;9;13;11;8;3;2;1;0;69
E41   Marasmo nutricional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
E43   Desnutric proteico-calorica grave NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
E46   Desnutric proteico-calorica NE;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;2;3;1;1;1;11
E52   Defic de niacina;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
E64   Sequelas desnutric e outr defic nutricionais;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
E66   Obesidade;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;4
E78   Disturbios metab lipoproteinas e out lipidem;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;5
E80   Disturbios metab porfirina e bilirrubina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
E83   Disturbios do metabolismo de minerais;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
E86   Deplecao de volume;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;5
E87   Outr transt equil hidroeletr e acido-basic;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;1;0;0;0;5
E88   Outr disturbios metabolicos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
F03   Demencia NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
F10   Transt mentais comport dev uso alcool;0;0;0;0;0;0;1;1;3;4;3;2;1;1;1;0;0;0;0;0;0;17
F14   Transt mentais e comport dev uso da cocaina;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
F17   Transt mentais e comport dev uso de fumo;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
F19   Transt ment comp mult drog out subst psicoat;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3
F20   Esquizofrenia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
F31   Transt afetivo bipolar;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
G00   Meningite bacter NCOP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
G04   Encefalite mielite e encefalomielite;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
G06   Abscesso granuloma intracran intra-raquid;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
G09   Sequelas doenc inflam sist nerv centr;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
G12   Atrofia muscular espinal e sindr correlatas;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;1;0;1;0;0;0;7
G20   Doenc de Parkinson;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;3;0;0;15
G25   Outr doenc extrapiramidais transt movimentos;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
G30   Doenc de Alzheimer;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;6;8;7;7;1;0;36
G31   Outr doenc degenerativas sist nervoso NCOP;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
G35   Esclerose mult;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
G40   Epilepsia;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;4
G41   Estado de mal epileptico;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2
G61   Polineuropatia inflam;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
G71   Transt prim dos musculos;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
G80   Paralisia cerebral;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
G91   Hidrocefalia;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3
G93   Outr transt do encefalo;1;0;0;0;1;0;0;1;0;0;2;0;2;0;2;0;1;0;0;0;0;10
G95   Outr doenc da medula espinal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
I00   Febre reumatica s/mencao de compr do coracao;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
I07   Doenc reumaticas da valva tricuspide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
I10   Hipertensao essencial;0;0;0;0;0;0;1;1;0;0;2;3;4;5;3;2;0;3;2;0;0;26
I11   Doenc cardiaca hipertensiva;0;0;0;0;0;0;0;1;0;0;1;1;4;3;0;3;4;0;2;1;0;20
I12   Doenc renal hipertensiva;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;1;3;1;0;0;0;11
I13   Doenc cardiaca e renal hipertensiva;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;5
I20   Angina pectoris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
