Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5)
Sexo: Masculino
Período:2018
"Causa (CID10 3C)";"0-4";"5-9";"10-14";"15-19";"20-24";"25-29";"30-34";"35-39";"40-44";"45-49";"50-54";"55-59";"60-64";"65-69";"70-74";"75-79";"80-84";"85-89";"90-94";"95-99";"100e+";"Ign";"Total"
"A04   Outr infecc intestinais bacter";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"A08   Infecc intestinais virais outr e as NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"A09   Diarreia e gastroenterite orig infecc presum";1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;1;0;1;1;0;0;10
"A15   Tuberc respirat c/conf bacteriol e histolog";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"A16   Tuberc vias respirat s/conf bacter histol";0;0;0;0;0;2;1;0;2;1;2;1;3;0;0;0;0;1;0;0;0;0;13
"A19   Tuberc miliar";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A41   Outr septicemias";0;0;1;0;0;2;1;1;2;3;3;1;4;3;3;5;3;1;3;3;0;0;39
"A46   Erisipela";0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;6
"A48   Outr doenc bacter NCOP";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;4
"A77   Febre maculosa";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"A81   Infecc p/virus atipicos sist nervoso central";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
"A86   Encefalite viral NE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"B00   Infecc p/virus do herpes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"B16   Hepatite aguda B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"B18   Hepatite viral cronica";0;0;0;0;0;0;0;0;0;3;3;3;2;1;1;0;0;0;0;0;0;0;13
"B19   Hepatite viral NE";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"B20   Doenc p/HIV result doenc infecc e parasit";0;0;0;0;3;1;1;2;4;3;3;1;4;1;0;0;2;0;0;0;0;0;25
"B21   Doenc p/HIV result em neopl malig";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"B22   Doenc p/HIV result em outr doenc espec";0;0;0;0;0;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;5
"B24   Doenc p/HIV NE";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"B37   Candidiase";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2
"B57   Doenc de Chagas";0;0;0;0;0;0;0;1;1;1;1;1;2;2;3;1;2;1;0;0;0;0;16
"B59   Pneumocistose";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"C01   Neopl malig da base da lingua";0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;4
"C02   Neopl malig outr partes e NE da lingua";0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;4
"C04   Neopl malig do assoalho da boca";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
"C06   Neopl malig outr partes e partes NE da boca";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"C07   Neopl malig da gland parotida";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"C09   Neopl malig da amigdala";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
"C10   Neopl malig da orofaringe";0;0;0;0;0;0;0;0;0;1;0;2;1;1;3;1;0;0;0;0;0;0;9
"C11   Neopl malig da nasofaringe";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2
"C12   Neopl malig do seio piriforme";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
"C13   Neopl malig da hipofaringe";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;3
"C14   Neop mal out loc mal def labio cav oral far";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;3
"C15   Neopl malig do esofago";0;0;0;0;0;0;0;0;0;3;4;8;6;8;5;6;1;1;0;0;0;0;42
"C16   Neopl malig do estomago";0;0;0;0;0;0;0;0;0;1;6;4;2;14;7;12;2;2;1;0;0;0;51
"C17   Neopl malig do intestino delgado";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"C18   Neopl malig do colon";0;0;0;0;0;1;0;0;1;0;3;6;11;4;11;7;9;5;1;2;0;0;61
"C19   Neopl malig da juncao retossigmoide";0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;5
"C20   Neopl malig do reto";0;0;0;0;0;0;0;1;0;3;0;2;2;4;6;0;3;0;0;1;0;0;22
"C21   Neopl malig do anus e do canal anal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"C22   Neopl malig figado vias biliares intra-hepat";0;0;0;0;0;0;0;1;1;0;5;6;10;9;6;3;3;1;0;0;0;0;45
"C23   Neopl malig da vesicula biliar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"C24   Neopl malig outr partes e NE vias biliares";0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;1;0;0;0;1;0;0;7
"C25   Neopl malig do pancreas";0;0;0;0;0;0;0;1;0;0;4;5;7;9;9;8;6;2;0;0;0;0;51
