Sistema de Informação de Mortalidade - Óbitos não fetais - Campinas;;;;;;;;;;;;;;;;;;;;;;;
Resid Campinas por Causa (CID10 3C) e Faixa Etária (5-5);;;;;;;;;;;;;;;;;;;;;;;
Sexo: Masculino;;;;;;;;;;;;;;;;;;;;;;;
Período:2022;;;;;;;;;;;;;;;;;;;;;;;
Causa (CID10 3C);0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100e+;Ign;Total
A04   Outr infecc intestinais bacter;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;0;0;0;5
A09   Diarreia e gastroenterite orig infecc presum;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;2;0;1;0;0;7
A15   Tuberc respirat c/conf bacteriol e histolog;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
A16   Tuberc vias respirat s/conf bacter histol;0;0;0;0;0;0;0;4;0;3;2;2;2;2;2;0;1;0;0;0;0;0;18
A17   Tuberc do sist nervoso;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A18   Tuberc de outr orgaos;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
A27   Leptospirose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2
A31   Infecc dev outr micobacterias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;3
A39   Infecc meningogocica;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
A41   Outr septicemias;4;0;0;1;0;0;2;0;0;0;0;0;1;2;8;8;5;9;4;0;0;0;44
A46   Erisipela;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;2;1;0;0;0;7
A48   Outr doenc bacter NCOP;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;3
A49   Infecc bacter de localiz NE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
A81   Infecc p/virus atipicos sist nervoso central;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
A86   Encefalite viral NE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
A90   Dengue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
A91   Febre hemorragica dev virus do dengue;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
A98   Outr febres hemorragicas p/virus NCOP;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3
A99   Febres hemorragicas virais NE;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
B16   Hepatite aguda B;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
B18   Hepatite viral cronica;0;0;0;0;0;0;1;0;0;0;0;6;2;0;0;1;0;0;0;0;0;0;10
B19   Hepatite viral NE;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
B20   Doenc p/HIV result doenc infecc e parasit;0;1;0;0;1;2;1;0;4;2;2;3;2;3;0;1;0;0;0;0;0;0;22
B21   Doenc p/HIV result em neopl malig;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
B22   Doenc p/HIV result em outr doenc espec;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
B25   Doenc p/citomegalovirus;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
B34   Doenc p/virus de localiz NE;3;0;1;1;0;2;3;6;4;6;8;25;24;36;48;43;55;55;33;11;2;0;366
B37   Candidiase;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
B39   Histoplasmose;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
B57   Doenc de Chagas;0;0;0;0;0;0;0;0;0;0;1;3;2;2;1;1;2;1;0;0;0;0;13
