 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Período:2011
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A09   Diarreia e gastroenterite orig infecc presum";-;-;1;2;-;-;1;-;-;-;-;-;-;2;-;2;1;1;2;12;24
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;1;5
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"A39   Infecc meningogocica";-;-;-;3;-;1;-;3;1;1;1;-;-;2;-;1;-;-;-;-;13
"A41   Outr septicemias";-;-;3;2;-;-;-;3;-;1;2;-;1;3;4;4;5;5;8;24;65
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;4;1;1;8
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;3
"A49   Infecc bacter de localiz NE";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"A77   Febre maculosa";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;2;3;4;8;7;-;4;3;1;32
"B19   Hepatite viral NE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;1;1;-;-;-;-;2;9;5;16;11;2;4;-;-;-;1;-;52
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;3
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;2;-;-;4;1;1;1;1;-;-;-;-;10
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;-;3;-;-;-;2;-;-;-;-;-;-;5
"B37   Candidiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B41   Paracoccidioidomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B45   Criptococose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;3
"B49   Micose NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;-;2;-;-;4;-;6;4;4;5;25
"B65   Esquistossomose";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"B78   Estrongiloidiase";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
"B91   Sequelas de poliomielite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
