 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Período:2015
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A04   Outr infecc intestinais bacter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"A09   Diarreia e gastroenterite orig infecc presum";-;-;1;1;-;-;-;-;-;-;-;-;-;1;1;1;2;3;-;10;-;20
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;2;-;1;1;-;3;2;4;1;1;3;-;2;-;20
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A32   Listeriose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;2
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A41   Outr septicemias";-;-;1;-;1;-;-;-;-;-;2;2;1;-;6;2;5;10;11;26;-;67
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;4;-;8
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
"A49   Infecc bacter de localiz NE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A50   Sifilis congen";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A63   Outr doenc de transm predom sexual NCOP";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"A77   Febre maculosa";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A90   Dengue";-;-;-;-;-;-;-;-;2;1;1;1;2;3;-;-;2;4;4;5;-;25
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;1;7;7;5;2;4;-;3;-;29
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;-;-;7;10;6;8;12;4;-;1;1;1;-;-;50
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;1;-;-;-;-;4
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;1;-;1;4;-;-;-;-;2;-;-;-;-;8
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2
"B37   Candidiase";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"B44   Aspergilose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B45   Criptococose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
"B49   Micose NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;2;5;1;5;6;-;23
"B58   Toxoplasmose";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B78   Estrongiloidiase";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"B91   Sequelas de poliomielite";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;3
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;-;-;4
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;2;1;1;2;1;-;13
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;2;-;2;-;7
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;3
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;1;-;-;-;1;-;7
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;4
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;-;1;1;5;7;4;8;4;4;2;-;36
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;-;3;1;3;10;12;10;11;13;8;25;-;96
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;1;-;1;-;6
"C18   Neopl malig do colon";-;-;-;-;-;-;-;1;-;1;1;3;5;5;13;13;15;9;12;32;-;110
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;2;-;1;-;6
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;1;-;1;5;4;6;4;1;5;6;10;-;43
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;4
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;-;-;-;1;6;5;9;9;5;5;5;11;-;56
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;1;1;-;6
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;3;2;-;9
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;-;-;1;3;4;4;11;9;7;7;8;14;-;68
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;1;3;1;3;2;-;15
"C30   Neopl malig cavidade nasal e do ouvido medio";-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"C31   Neopl malig dos seios da face";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;-;-;2;2;3;5;6;2;4;2;-;26
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;-;-;1;-;1;-;9;16;24;29;24;28;27;27;-;186
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
"C39   Neop mal out loc mal def ap resp org intrat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;-;1;1;1;-;-;-;-;2;1;-;-;-;-;1;2;-;9
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;-;-;1;-;1;1;1;4;3;1;5;2;2;-;21
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4;-;6
"C46   Sarcoma de Kaposi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;3
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;1;-;-;1;4;-;10
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;1;3;5;2;7;14;15;13;10;8;7;26;-;111
"C53   Neopl malig do colo do utero";-;-;-;-;-;-;-;-;1;1;-;-;4;3;1;2;-;-;1;1;-;14
"C54   Neopl malig do corpo do utero";-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;2;7;1;3;2;-;20
"C55   Neopl malig do utero porcao NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;2;-;5
"C56   Neopl malig do ovario";-;-;-;-;-;-;-;-;-;-;-;2;2;1;1;3;5;3;1;7;-;25
"C60   Neopl malig do penis";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2
"C61   Neopl malig da prostata";-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;4;10;9;16;30;-;73
"C62   Neopl malig dos testiculos";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;-;-;-;-;-;-;1;-;-;3;4;2;4;5;3;4;-;26
"C65   Neopl malig da pelve renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"C67   Neopl malig da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;4;5;5;3;14;-;35
"C68   Neopl malig de outr orgaos urinarios e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;3
"C71   Neopl malig do encefalo";-;-;-;1;1;1;-;1;-;1;-;1;3;6;6;2;6;3;7;7;-;46
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;1;-;-;-;-;-;-;-;-;1;1;1;1;2;-;1;4;-;12
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;4
"C74   Neopl malig da gland supra-renal";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;4
"C75   Neopl malig outr gland endocrinas estr relac";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;4;1;-;6;6;-;24
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;2;1;3;-;10
"C79   Neopl malig secund de outr localiz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;4
"C80   Neopl malig s/especificacao de localiz";-;-;-;-;-;-;-;-;1;-;-;2;2;2;1;1;6;3;2;12;-;32
"C81   Doenc de Hodgkin";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"C82   Linfoma nao-Hodgkin folicular";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C83   Linfoma nao-Hodgkin difuso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C84   Linfomas de celulas T cutaneas e perifericas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2
"C85   Linfoma nao-Hodgkin de outr tipos e tipo NE";-;-;-;-;-;-;-;1;-;1;-;2;2;-;2;3;3;1;5;3;-;23
"C90   Mieloma mult e neopl malig de plasmocitos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;8;3;3;3;-;24
"C91   Leucemia linfoide";-;-;-;-;-;1;-;-;1;-;-;-;1;3;1;-;-;-;2;3;-;12
"C92   Leucemia mieloide";-;-;-;-;-;-;1;-;1;-;1;1;1;3;1;1;2;4;2;5;-;23
"C95   Leucemia de tipo celular NE";-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;1;1;6;-;11
"C96   Outr neopl mal e NE tec linf hematop e corr";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"D35   Neopl benig de outr gland endocrinas e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
