 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Fem
Período:2018
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;6;7
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
"A19   Tuberc miliar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"A40   Septicemia estreptococica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A41   Outr septicemias";-;-;2;1;-;-;-;-;1;1;-;-;-;-;1;3;3;6;8;15;41
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;5;8
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5;6
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"A77   Febre maculosa";-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;3
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;1;1;6
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;-;-;2;2;2;1;3;-;-;1;-;-;-;11
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
"B34   Doenc p/virus de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B37   Candidiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"B45   Criptococose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B49   Micose NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;4;1;3;5;4;20
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;4
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;3;6
"C12   Neopl malig do seio piriforme";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;3;3;1;10
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;2;3;2;1;13;26
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;3
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;1;-;2;2;1;2;4;14;8;5;16;55
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;3
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;2;-;2;4;13
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;5;3;1;11;26
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;1;1;2;2;10
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;-;-;-;-;3;1;5;4;2;6;9;16;46
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;2;3;7;16
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;-;-;-;-;-;1;3;2;10;12;17;14;6;19;84
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;3;5
"C39   Neop mal out loc mal def ap resp org intrat";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"C40   Neopl malig ossos/cartilag artic membros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;3;5
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;2;6
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;2;5
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;2;2;3;1;2;13
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;1;2;1;-;7
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;1;3;6;9;10;8;11;10;14;17;15;30;134
"C51   Neopl malig da vulva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"C52   Neopl malig da vagina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"C53   Neopl malig do colo do utero";-;-;-;-;-;-;-;1;1;-;3;-;3;1;4;-;4;2;-;-;19
"C54   Neopl malig do corpo do utero";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;3;2;2;1;12
"C55   Neopl malig do utero porcao NE";-;-;-;-;-;-;-;-;-;1;-;1;1;1;3;2;-;1;-;2;12
"C56   Neopl malig do ovario";-;-;-;-;-;-;-;-;-;-;1;1;-;3;3;1;4;2;1;1;17
"C57   Neopl malig outr org genitais femin e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;4;1;4;11
"C67   Neopl malig da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;1;5;10
"C71   Neopl malig do encefalo";-;-;-;-;1;-;-;-;-;1;-;1;3;2;-;2;3;2;2;2;19
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;1;5
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;2;-;1;6
