 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Masc
Período:2012
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;1;5
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;3
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;1;5
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A19   Tuberc miliar";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"A39   Infecc meningogocica";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2
"A41   Outr septicemias";-;-;1;-;1;-;-;-;-;-;-;3;-;2;1;1;2;7;6;7;31
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;1;5
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;1;-;-;1;6
"A77   Febre maculosa";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A86   Encefalite viral NE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"B01   Varicela";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;1;-;-;8;6;4;4;3;2;1;-;29
"B19   Hepatite viral NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;1;-;4;7;5;9;5;1;2;1;-;-;-;35
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;1;-;-;-;1;1;2;-;-;-;-;-;5
"B24   Doenc p/HIV NE";-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;-;1;-;4;5;15
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;3;6
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;-;-;1;5
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;-;2;-;1;8
"C11   Neopl malig da nasofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C12   Neopl malig do seio piriforme";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C13   Neopl malig da hipofaringe";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;-;4
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;1;-;4
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;-;2;2;2;8;2;12;4;2;4;38
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;2;1;1;1;-;4;6;6;10;13;7;51
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;3
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;1;-;-;1;2;2;10;12;1;8;8;10;55
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;3
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;1;1;-;1;-;2;3;2;2;2;1;15
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;-;-;-;-;2;5;7;7;5;6;2;6;40
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;2;1;1;10
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;1;-;-;1;1;2;3;3;4;5;5;3;28
"C26   Neopl malig outr mal def aparelho digestivo";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;5;8
"C32   Neopl malig da laringe";-;-;-;-;-;-;-;-;-;-;-;-;2;7;8;4;4;3;2;-;30
"C34   Neopl malig dos bronquios e dos pulmoes";-;-;-;-;-;-;-;-;-;1;-;2;2;3;7;14;11;13;13;15;81
"C38   Neopl malig do coracao mediastino e pleura";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;4
"C41   Neopl malig ossos/cartil artic outr loc e NE";-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;1;-;-;4
"C43   Melanoma malig da pele";-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;2;2;-;-;7
"C44   Outr neopl malig da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;3
"C48   Neopl malig tec moles retro- e peritonio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"C49   Neopl malig tec conjuntivo e outr tec moles";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;1;4
"C50   Neopl malig da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"C60   Neopl malig do penis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"C61   Neopl malig da prostata";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;9;6;14;14;32;77
"C62   Neopl malig dos testiculos";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2
"C64   Neopl malig do rim exceto pelve renal";-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;4;4;2;3;3;21
"C67   Neopl malig da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;2;3;10
"C69   Neopl malig do olho e anexos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C71   Neopl malig do encefalo";-;-;-;-;1;-;1;-;2;1;1;-;2;-;2;3;2;3;1;3;22
"C72   Neop mal med esp nerv cran out sist nerv cen";-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;-;-;-;5
"C73   Neopl malig da gland tireoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"C74   Neopl malig da gland supra-renal";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"C75   Neopl malig outr gland endocrinas estr relac";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;1;-;-;4
"C76   Neopl malig outr localiz e mal definidas";-;-;-;-;-;-;-;-;-;-;-;1;2;-;2;2;1;1;3;2;14
"C78   Neopl malig secund org respirat e digestivos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;3
"C79   Neopl malig secund de outr localiz";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"C80   Neopl malig s/especificacao de localiz";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;2;4;1;1;14
