 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Município: 350950 CAMPINAS
Sexo: Masc
Período:2015
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A04   Outr infecc intestinais bacter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A09   Diarreia e gastroenterite orig infecc presum";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;3;-;8
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;-;-;2;-;1;1;-;3;2;4;1;1;2;-;1;-;18
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A41   Outr septicemias";-;-;1;-;1;-;-;-;-;-;1;1;1;-;3;1;1;5;4;12;-;31
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;3
"A48   Outr doenc bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
"A50   Sifilis congen";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A77   Febre maculosa";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A90   Dengue";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;3;3;1;-;10
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;-;-;1;7;6;3;1;2;-;3;-;23
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;-;-;5;10;4;6;7;3;-;1;1;1;-;-;38
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;3
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;1;-;-;-;-;6
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B44   Aspergilose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B45   Criptococose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;2;3;1;2;-;-;11
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B78   Estrongiloidiase";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"B91   Sequelas de poliomielite";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;-;-;4
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;-;-;1;-;1;1;2;1;1;1;2;-;-;10
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;1;-;1;-;5
"C07   Neopl malig da gland parotida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"C09   Neopl malig da amigdala";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
"C10   Neopl malig da orofaringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;1;-;-;-;1;-;7
"C14   Neop mal out loc mal def labio cav oral far";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;4
"C15   Neopl malig do esofago";-;-;-;-;-;-;-;-;-;-;-;1;1;5;7;3;7;3;2;1;-;30
"C16   Neopl malig do estomago";-;-;-;-;-;-;-;-;-;-;1;1;3;9;7;6;9;9;4;16;-;65
"C17   Neopl malig do intestino delgado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;3
"C18   Neopl malig do colon";-;-;-;-;-;-;-;-;-;-;1;2;2;2;8;5;9;7;8;14;-;58
"C19   Neopl malig da juncao retossigmoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"C20   Neopl malig do reto";-;-;-;-;-;-;-;-;-;-;-;1;2;2;3;3;1;3;2;5;-;22
"C21   Neopl malig do anus e do canal anal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"C22   Neopl malig figado vias biliares intra-hepat";-;-;-;-;-;-;-;-;-;-;-;1;4;3;8;5;4;3;4;7;-;39
"C23   Neopl malig da vesicula biliar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"C24   Neopl malig outr partes e NE vias biliares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;4
"C25   Neopl malig do pancreas";-;-;-;-;-;-;-;-;-;-;-;1;2;2;8;3;4;3;1;6;-;30
