 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Período:2012
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;2;-;5
"A04   Outr infecc intestinais bacter";-;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;2;3;5;8;24;-;46
"A05   Outr intox alimentares bacter NCOP";-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;8
"A06   Amebiase";-;-;-;-;2;-;-;1;-;-;-;1;1;-;-;-;1;-;3;3;5;-;17
"A08   Infecc intestinais virais outr e as NE";-;-;2;-;-;-;-;-;1;1;-;-;-;1;-;1;2;-;1;2;9;-;20
"A09   Diarreia e gastroenterite orig infecc presum";-;2;48;-;9;3;2;1;2;6;4;7;13;12;21;21;21;42;55;65;250;-;584
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;-;4;8;4;5;17;10;22;25;17;10;6;5;7;-;140
"A16   Tuberc vias respirat s/conf bacter histol";-;-;2;-;2;-;1;5;11;18;30;31;67;64;83;60;52;40;42;28;42;7;585
"A17   Tuberc do sist nervoso";-;-;-;-;1;-;1;1;3;3;1;1;-;3;4;1;1;3;-;-;-;-;23
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;1;2;-;3;2;2;1;2;1;5;3;-;2;4;-;28
"A19   Tuberc miliar";-;-;1;-;-;-;1;1;1;4;2;9;8;11;5;10;3;5;3;2;2;2;70
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"A27   Leptospirose";-;-;-;-;-;1;-;5;1;1;6;5;10;11;11;3;3;1;3;-;-;-;61
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;1;5;-;10
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;-;2;3;1;5;3;2;1;3;1;6;-;27
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
"A37   Coqueluche";-;4;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"A39   Infecc meningogocica";-;-;21;-;20;25;24;14;7;11;12;5;6;13;3;3;7;1;2;-;-;-;174
"A40   Septicemia estreptococica";-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;1;3;2;5;3;17;-;34
"A41   Outr septicemias";-;-;122;-;31;17;10;17;21;32;47;57;67;95;136;161;202;253;269;348;879;1;2765
"A43   Nocardiose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"A46   Erisipela";-;-;-;-;-;-;-;-;1;1;3;5;6;10;18;24;34;19;45;28;111;1;306
"A48   Outr doenc bacter NCOP";-;-;-;-;1;-;1;-;-;1;1;2;4;4;5;3;4;5;6;8;19;-;64
"A49   Infecc bacter de localiz NE";-;-;-;-;1;-;-;-;-;1;-;1;1;-;-;-;-;1;2;3;3;-;13
"A50   Sifilis congen";10;3;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;4
"A56   Outr infecc p/clamidias transm p/via sexual";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A69   Outr infecc p/espiroquetas";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;4
"A77   Febre maculosa";-;-;-;-;-;4;1;-;-;2;3;5;5;1;4;2;-;1;-;1;-;-;29
"A79   Outr rickettsioses";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;5;3;2;-;-;-;13
"A86   Encefalite viral NE";-;-;-;-;-;4;1;4;-;4;3;2;2;6;3;5;2;3;1;2;5;-;47
"A87   Meningite viral";-;-;1;-;2;-;1;2;-;-;2;5;-;2;2;1;-;-;-;-;1;-;19
"A89   Infecc virais NE do sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A90   Dengue";-;-;-;-;-;-;-;-;-;-;3;1;-;1;-;-;1;1;-;1;-;-;8
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;2;-;1;-;-;8
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"A99   Febres hemorragicas virais NE";-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;1;-;-;-;5
"B00   Infecc p/virus do herpes";-;-;1;-;-;-;-;1;-;-;1;1;1;-;2;4;1;-;1;2;5;-;20
"B01   Varicela";-;-;6;-;23;5;-;1;-;2;1;-;1;-;-;-;-;1;-;-;2;-;42
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;3;4;9;-;19
"B08   Outr inf virais lesoes pele membr muc NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"B15   Hepatite aguda A";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;1;-;-;4
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;2;1;3;3;6;6;4;1;5;7;2;4;-;44
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;-;-;2;4;9;8;21;12;17;9;8;3;11;-;104
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;1;1;1;5;17;25;74;94;124;101;79;66;48;46;-;682
"B19   Hepatite viral NE";-;-;1;-;-;2;-;-;1;4;3;-;4;1;5;7;6;4;-;1;1;-;40
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;7;-;1;1;5;12;59;115;246;315;361;371;195;115;73;31;23;7;10;1;1948
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;1;2;2;3;5;13;7;15;4;6;1;3;-;-;-;-;62
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;2;10;32;36;48;67;59;46;32;11;3;3;3;-;2;354
"B23   Doenc p/HIV result em outr doenc";-;-;-;-;-;-;-;-;1;1;1;5;5;5;2;2;1;1;-;-;-;-;24
"B24   Doenc p/HIV NE";-;1;-;-;1;-;1;1;9;20;40;41;40;51;29;22;8;6;6;4;2;-;282
"B25   Doenc p/citomegalovirus";-;-;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"B26   Caxumba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"B33   Outr doenc p/virus NCOP";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"B34   Doenc p/virus de localiz NE";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;1;2;-;8
"B37   Candidiase";-;-;3;-;1;-;-;-;-;-;-;1;-;2;2;-;-;-;1;6;3;-;19
"B39   Histoplasmose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;-;-;-;4
