 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Período:2013
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A04   Outr infecc intestinais bacter";-;-;5;1;-;-;-;-;-;1;-;1;2;2;9;2;-;7;3;21;-;54
"A05   Outr intox alimentares bacter NCOP";-;1;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;1;-;-;6
"A06   Amebiase";-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;1;5;-;10
"A07   Outr doenc intestinais p/protozoarios";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"A08   Infecc intestinais virais outr e as NE";-;-;5;-;1;-;-;-;-;1;-;-;-;1;-;-;1;2;-;8;-;19
"A09   Diarreia e gastroenterite orig infecc presum";-;4;37;13;3;3;2;1;1;2;8;7;17;15;31;30;29;36;82;258;-;579
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;1;7;9;10;16;17;19;20;24;14;9;14;11;10;-;181
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;-;2;6;19;19;50;44;57;60;73;80;61;46;31;27;40;6;621
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;1;2;1;-;2;2;-;3;2;1;2;-;2;-;-;18
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;1;1;1;1;-;1;1;-;-;1;1;1;1;-;10
"A19   Tuberc miliar";-;-;-;-;-;2;1;3;5;4;7;3;6;12;12;3;4;2;-;4;1;69
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;2;-;-;5
"A27   Leptospirose";-;-;-;-;-;1;4;4;6;4;9;6;10;9;6;9;6;4;2;1;-;81
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;2;4;5;4;-;18
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;1;1;1;1;-;1;2;2;5;4;1;3;13;-;35
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;2;3;-;-;-;8
"A37   Coqueluche";-;1;28;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30
"A39   Infecc meningogocica";-;-;9;20;15;10;12;12;7;8;5;7;7;6;7;4;3;3;-;1;-;136
