 Mortalidade - Brasil;;;;;;;;;;;;;;;;;;;;;;;
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det;;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação: São Paulo;;;;;;;;;;;;;;;;;;;;;;;
Período:2016;;;;;;;;;;;;;;;;;;;;;;;
Categoria CID-10;0 a 6 dias;7 a 27 dias;28 a 364 dias;Menor 1 ano (ign);1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
A02   Outr infecc p/Salmonella;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
A04   Outr infecc intestinais bacter;-;-;6;-;1;-;-;-;-;1;1;1;-;2;4;3;3;4;6;20;38;-;90
A05   Outr intox alimentares bacter NCOP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2
A06   Amebiase;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;3;2;1;1;9;-;19
A08   Infecc intestinais virais outr e as NE;-;-;1;-;1;-;-;1;-;-;1;-;1;2;-;-;1;-;-;3;8;-;19
A09   Diarreia e gastroenterite orig infecc presum;1;2;37;-;13;2;1;1;1;2;3;6;12;5;29;27;32;49;66;67;319;-;675
A15   Tuberc respirat c/conf bacteriol e histolog;-;-;-;-;-;-;-;3;5;6;7;7;6;11;10;18;22;10;5;6;6;2;124
A16   Tuberc vias respirat s/conf bacter histol;-;-;-;-;-;-;1;6;12;21;30;47;73;64;88;76;61;46;27;41;45;13;651
A17   Tuberc do sist nervoso;-;-;1;-;1;-;-;2;1;2;3;1;-;2;3;1;1;1;1;2;-;-;22
A18   Tuberc de outr orgaos;-;-;-;-;-;-;-;-;1;-;2;2;-;2;-;2;2;4;-;2;1;-;18
A19   Tuberc miliar;-;-;-;-;-;-;-;1;2;4;4;5;2;8;12;6;7;3;3;1;3;-;61
A21   Tularemia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;3
A23   Brucelose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
A26   Erisipeloide;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;4
A27   Leptospirose;-;-;-;-;-;1;-;6;1;2;5;-;7;7;2;10;4;4;1;2;-;-;52
