 Mortalidade - Brasil;;;;;;;;;;;;;;;;;;;;;;
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação: São Paulo;;;;;;;;;;;;;;;;;;;;;;
Período:2019;;;;;;;;;;;;;;;;;;;;;;
Categoria CID-10;0 a 6 dias;7 a 27 dias;28 a 364 dias;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
A02   Outr infecc p/Salmonella;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
A04   Outr infecc intestinais bacter;-;-;7;-;-;-;-;2;1;1;2;1;2;3;7;5;15;15;23;76;-;160
A05   Outr intox alimentares bacter NCOP;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
A06   Amebiase;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;3;-;7
A08   Infecc intestinais virais outr e as NE;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;3;1;2;1;7;-;16
A09   Diarreia e gastroenterite orig infecc presum;-;-;26;17;5;4;4;3;-;2;7;5;10;13;27;33;60;65;100;404;-;785
A15   Tuberc respirat c/conf bacteriol e histolog;-;-;-;1;-;-;3;3;4;14;7;9;21;29;15;24;29;8;11;14;2;194
A16   Tuberc vias respirat s/conf bacter histol;-;-;-;1;-;-;4;16;26;30;32;56;61;77;76;56;42;30;25;44;2;578
A17   Tuberc do sist nervoso;-;-;-;2;-;1;-;2;4;1;4;2;2;1;4;1;1;3;-;-;-;28
A18   Tuberc de outr orgaos;-;-;-;-;-;-;1;-;-;1;1;1;-;1;2;1;4;2;3;-;-;17
A19   Tuberc miliar;-;-;1;-;-;1;-;3;6;4;6;7;10;11;7;10;10;2;3;2;1;84
A21   Tularemia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;-;5
A26   Erisipeloide;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
A27   Leptospirose;-;-;-;-;-;1;3;6;8;3;3;7;7;13;9;7;5;4;-;3;-;79
A30   Hanseniase;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;1;-;3;-;8
A31   Infecc dev outr micobacterias;-;-;-;-;-;-;1;-;1;-;4;-;1;1;8;5;9;6;3;13;-;52
A32   Listeriose;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;4
A35   Outr tipos de tetano;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;3
A39   Infecc meningogocica;-;-;9;5;7;2;1;5;2;2;1;4;1;3;3;1;3;2;-;1;-;52
A40   Septicemia estreptococica;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;4;9;-;16
A41   Outr septicemias;-;-;77;23;5;6;22;20;29;24;45;71;85;135;196;287;290;382;471;1443;8;3619
A42   Actinomicose;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;4
A43   Nocardiose;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
A44   Bartonelose;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;3
A46   Erisipela;-;-;-;-;-;-;-;-;-;3;5;8;15;22;30;39;49;57;57;204;-;489
A48   Outr doenc bacter NCOP;-;-;1;-;-;-;-;-;1;-;-;2;2;4;3;5;2;10;9;28;-;67
A49   Infecc bacter de localiz NE;-;-;1;-;-;-;-;-;2;1;-;-;1;2;3;4;8;9;7;14;-;52
A50   Sifilis congen;10;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;15
A51   Sifilis precoce;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
A52   Sifilis tard;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;-;3;1;-;4;-;13
A53   Outr form e as NE da sifilis;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2
A54   Infecc gonococica;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
A55   Linfogranuloma p/clamidia;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A56   Outr infecc p/clamidias transm p/via sexual;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
A57   Cancro mole;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
A63   Outr doenc de transm predom sexual NCOP;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2
A68   Febres recorrentes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
A77   Febre maculosa;-;-;-;2;1;1;2;2;2;2;5;2;-;4;5;-;2;-;-;1;-;31
A81   Infecc p/virus atipicos sist nervoso central;-;-;-;1;-;-;-;-;-;1;-;-;1;5;4;4;6;2;2;2;-;28
