 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Fem
Período:2017
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A04   Outr infecc intestinais bacter";-;-;1;-;-;-;1;-;-;-;-;-;1;2;2;1;1;5;3;5;38;-;60
"A06   Amebiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;1;2;-;7
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;4;-;9
"A09   Diarreia e gastroenterite orig infecc presum";-;1;11;-;6;1;1;1;2;-;-;5;3;1;8;11;18;28;33;44;258;-;432
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;-;1;2;-;3;1;1;3;2;2;2;1;1;4;-;23
"A16   Tuberc vias respirat s/conf bacter histol";-;-;1;-;1;-;-;1;15;6;14;8;13;8;14;17;14;13;5;9;12;1;152
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;-;1;-;-;-;2;-;-;2;2;-;-;1;-;-;-;8
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;1;1;-;-;-;-;2;1;1;1;1;1;2;-;-;11
"A19   Tuberc miliar";-;-;-;-;-;1;-;-;1;2;1;1;2;3;2;3;3;2;1;1;2;1;26
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;4
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;-;3;1;5;1;3;-;-;-;-;-;-;13
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;3;2;2;3;3;7;-;23
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A37   Coqueluche";-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"A38   Escarlatina";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A39   Infecc meningogocica";-;-;6;-;6;2;1;3;-;1;1;1;2;2;3;1;1;2;1;-;-;-;33
"A40   Septicemia estreptococica";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;2;5;-;10
"A41   Outr septicemias";-;-;43;-;7;10;4;7;9;5;17;17;35;37;58;86;95;157;199;230;837;2;1855
"A44   Bartonelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A46   Erisipela";-;-;-;-;-;-;-;-;-;-;1;1;1;-;5;10;22;28;18;30;126;-;242
"A48   Outr doenc bacter NCOP";-;-;-;-;1;1;-;-;-;1;-;-;-;-;1;-;1;5;5;8;20;-;43
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;4;1;10;-;20
"A50   Sifilis congen";6;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"A51   Sifilis precoce";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;-;4
"A53   Outr form e as NE da sifilis";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A56   Outr infecc p/clamidias transm p/via sexual";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A69   Outr infecc p/espiroquetas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A77   Febre maculosa";-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;1;1;1;-;-;-;-;7
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;1;1;-;8
"A86   Encefalite viral NE";-;1;-;-;1;2;-;-;-;1;-;2;3;4;-;1;2;3;-;1;2;-;23
"A87   Meningite viral";-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;1;-;1;2;2;2;-;12
"A90   Dengue";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;2
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2
"A92   Outr febres virais transm p/mosquitos";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A95   Febre amarela";-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;1;-;-;-;-;5
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A99   Febres hemorragicas virais NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;3
"B00   Infecc p/virus do herpes";-;-;1;-;1;-;-;-;-;-;-;-;-;-;2;1;2;1;2;1;4;-;15
"B01   Varicela";-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;4
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;-;2;-;7;-;14
"B15   Hepatite aguda A";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;3
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;1;-;4;-;9
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;-;1;-;1;-;1;2;1;4;1;1;3;1;-;16
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;1;1;3;9;10;21;34;41;32;34;39;27;-;252
"B19   Hepatite viral NE";-;-;-;-;-;1;-;-;1;-;2;-;-;-;-;1;1;-;1;3;1;-;11
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;-;-;-;8;19;20;45;71;75;89;67;37;33;19;12;5;4;4;508
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;-;-;-;3;3;2;3;1;2;-;1;-;-;-;15
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;1;3;4;12;8;10;8;6;6;3;2;3;1;-;67
"B23   Doenc p/HIV result em outr doenc";-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;2;-;-;-;-;-;-;5
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;1;-;2;2;12;12;10;10;5;3;4;2;1;-;-;64
"B25   Doenc p/citomegalovirus";-;-;1;-;1;2;-;-;-;-;1;-;1;-;-;1;-;1;-;1;-;-;9
"B26   Caxumba";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;5
