 Mortalidade - Brasil;;;;;;;;;;;;;;;;;;;;;;
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det;;;;;;;;;;;;;;;;;;;;;;
Unidade da Federação: São Paulo;;;;;;;;;;;;;;;;;;;;;;
Sexo: Fem;;;;;;;;;;;;;;;;;;;;;;
Período:2019;;;;;;;;;;;;;;;;;;;;;;
Categoria CID-10;0 a 6 dias;7 a 27 dias;28 a 364 dias;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos e mais;Idade ignorada;Total
A02   Outr infecc p/Salmonella;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A04   Outr infecc intestinais bacter;-;-;1;-;-;-;-;1;-;1;1;-;1;2;2;4;11;8;13;54;-;99
A05   Outr intox alimentares bacter NCOP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
A06   Amebiase;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;4
A08   Infecc intestinais virais outr e as NE;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;2;1;5;-;12
A09   Diarreia e gastroenterite orig infecc presum;-;-;14;8;3;2;2;2;-;1;5;-;4;6;11;16;37;39;60;280;-;490
A15   Tuberc respirat c/conf bacteriol e histolog;-;-;-;-;-;-;1;-;1;2;1;3;1;6;1;3;5;1;6;7;-;38
A16   Tuberc vias respirat s/conf bacter histol;-;-;-;1;-;-;2;6;7;5;9;8;15;8;13;9;11;8;6;17;-;125
A17   Tuberc do sist nervoso;-;-;-;1;-;-;-;1;-;-;1;1;-;-;2;-;-;1;-;-;-;7
A18   Tuberc de outr orgaos;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;2;-;2;-;-;7
A19   Tuberc miliar;-;-;-;-;-;1;-;1;2;1;1;2;-;2;4;1;3;1;1;1;-;21
A21   Tularemia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
A26   Erisipeloide;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
A27   Leptospirose;-;-;-;-;-;1;-;-;1;-;-;-;-;1;1;1;2;1;-;1;-;9
A30   Hanseniase;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;3
A31   Infecc dev outr micobacterias;-;-;-;-;-;-;1;-;-;-;-;-;1;-;3;3;2;2;2;6;-;20
A39   Infecc meningogocica;-;-;4;3;2;1;-;1;2;1;-;-;1;2;1;1;-;1;-;-;-;20
A40   Septicemia estreptococica;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;7;-;11
A41   Outr septicemias;-;-;41;12;2;2;10;8;6;9;17;33;28;49;77;126;124;182;248;914;1;1889
A46   Erisipela;-;-;-;-;-;-;-;-;-;1;2;3;6;6;11;18;22;31;29;146;-;275
A48   Outr doenc bacter NCOP;-;-;-;-;-;-;-;-;1;-;-;1;-;2;1;1;1;5;4;21;-;37
A49   Infecc bacter de localiz NE;-;-;-;-;-;-;-;-;1;1;-;-;1;2;2;2;3;4;2;11;-;29
A50   Sifilis congen;7;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
A51   Sifilis precoce;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
A52   Sifilis tard;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;4
A54   Infecc gonococica;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
A55   Linfogranuloma p/clamidia;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A56   Outr infecc p/clamidias transm p/via sexual;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
A57   Cancro mole;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
A63   Outr doenc de transm predom sexual NCOP;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
A77   Febre maculosa;-;-;-;1;-;1;-;-;1;2;-;-;-;-;1;-;1;-;-;-;-;7
A81   Infecc p/virus atipicos sist nervoso central;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2;3;5;1;1;2;-;16
A86   Encefalite viral NE;-;-;1;-;1;-;1;-;1;1;-;3;-;1;2;2;3;3;2;4;-;25
A87   Meningite viral;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;6
A90   Dengue;-;-;1;-;1;-;3;-;1;1;3;3;4;4;4;4;4;7;9;36;-;85
A91   Febre hemorragica dev virus do dengue;-;-;2;-;-;-;1;-;-;2;2;2;-;3;2;2;1;4;3;4;-;28
A98   Outr febres hemorragicas p/virus NCOP;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;3
A99   Febres hemorragicas virais NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2
B00   Infecc p/virus do herpes;-;-;1;-;-;-;-;1;-;1;-;1;1;1;2;1;3;-;1;4;-;17
B01   Varicela;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3
B02   Herpes zoster;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;1;-;14;-;19
B05   Sarampo;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
B09   Inf viral NE caract p/lesoes pele membr muco;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
B15   Hepatite aguda A;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;4
B16   Hepatite aguda B;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;3
B17   Outr hepatites virais agudas;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;1;3;3;-;3;-;15
B18   Hepatite viral cronica;-;-;-;-;-;-;-;1;-;-;2;4;6;8;17;16;32;29;26;22;-;163
B19   Hepatite viral NE;-;-;-;1;-;1;1;1;-;-;-;-;-;2;1;2;1;1;-;1;-;12
B20   Doenc p/HIV result doenc infecc e parasit;-;-;1;-;1;-;4;8;23;37;51;71;84;54;51;23;23;6;9;2;-;448
B21   Doenc p/HIV result em neopl malig;-;-;-;-;-;-;-;-;-;2;-;3;2;2;1;1;2;1;-;-;-;14
B22   Doenc p/HIV result em outr doenc espec;-;-;-;1;-;-;-;-;1;2;8;11;8;10;8;4;6;3;-;3;-;65
B23   Doenc p/HIV result em outr doenc;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;3
B24   Doenc p/HIV NE;-;-;-;-;-;-;-;1;7;1;2;5;8;5;5;6;3;1;-;4;-;48
B25   Doenc p/citomegalovirus;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;2;-;7
B33   Outr doenc p/virus NCOP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
B34   Doenc p/virus de localiz NE;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
B37   Candidiase;-;-;3;-;1;1;1;-;-;-;-;-;-;-;-;1;3;1;3;2;-;16
B39   Histoplasmose;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
B40   Blastomicose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
B41   Paracoccidioidomicose;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;3
B44   Aspergilose;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;2;-;6
B45   Criptococose;-;-;-;-;-;-;-;-;-;-;1;1;2;1;1;-;2;1;1;1;-;11
B46   Zigomicose;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
B49   Micose NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
B50   Malaria p/Plasmodium falciparum;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
B51   Malaria p/Plasmodium vivax;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
B54   Malaria NE;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
B55   Leishmaniose;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;2;1;-;-;7
B57   Doenc de Chagas;-;-;-;-;-;-;-;-;-;1;4;7;6;12;21;51;60;55;60;161;-;438
B58   Toxoplasmose;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2
B59   Pneumocistose;-;-;-;-;-;-;-;1;-;-;-;-;-;2;2;-;1;-;-;-;-;6
B65   Esquistossomose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8;5;6;1;4;-;25
B67   Equinococose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
B69   Cisticercose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
B74   Filariose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
B86   Escabiose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
B87   Miiase;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;1;-;5
B90   Sequelas de tuberc;-;-;-;-;-;-;-;-;-;-;2;2;-;-;2;3;2;3;3;4;-;21
B91   Sequelas de poliomielite;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;1;1;-;6
B94   Sequelas de outr doenc infecc e parasit e NE;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;3;5;2;3;-;-;17
B99   Doenc infecc outr e as NE;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;1;-;5
