 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Fem
Período:2020
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A04   Outr infecc intestinais bacter";-;-;-;-;-;2;-;1;-;1;-;1;1;-;2;3;6;9;11;52;-;89
"A05   Outr intox alimentares bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"A06   Amebiase";-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;3;-;6
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;1;-;5
"A09   Diarreia e gastroenterite orig infecc presum";-;-;7;2;2;-;1;1;-;4;5;1;7;5;11;18;20;33;47;221;-;385
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;1;1;4;2;4;1;3;2;2;3;4;1;2;2;2;-;34
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;1;-;-;3;2;3;7;7;12;8;10;13;8;11;12;7;8;-;112
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;-;-;1;-;1;-;-;1;2;-;-;1;-;1;-;7
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;3
"A19   Tuberc miliar";-;-;-;-;-;-;1;-;2;2;1;1;-;1;-;1;1;2;2;3;-;17
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;1;2;-;1;-;8
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;2;2;3;6;-;16
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A37   Coqueluche";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A39   Infecc meningogocica";-;1;3;2;-;-;1;-;-;-;1;1;-;1;3;1;-;-;2;1;-;17
"A40   Septicemia estreptococica";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;5;-;8
"A41   Outr septicemias";-;-;34;12;2;2;4;9;11;18;22;38;42;70;78;130;161;193;236;911;-;1973
"A42   Actinomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;3
"A46   Erisipela";-;-;-;-;-;-;-;-;1;-;1;1;4;8;14;9;17;38;38;144;-;275
"A48   Outr doenc bacter NCOP";-;1;-;-;-;-;-;-;-;-;-;1;-;-;2;2;3;6;4;19;-;38
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;2;3;3;4;8;-;25
"A50   Sifilis congen";9;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;11
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;2;1;-;-;6
"A58   Granuloma inguinal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A68   Febres recorrentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;3
"A70   Infecc causadas p/Clamidia psittaci";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A77   Febre maculosa";-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;4
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;2;2;2;2;-;-;11
"A86   Encefalite viral NE";-;1;-;1;1;-;-;-;-;-;2;1;-;-;1;2;1;2;2;1;-;15
"A87   Meningite viral";-;-;-;-;-;-;-;1;2;-;-;1;1;1;-;-;1;1;1;1;-;10
"A90   Dengue";-;-;-;-;-;-;-;-;1;1;-;1;2;3;1;4;5;2;1;15;-;36
"A91   Febre hemorragica dev virus do dengue";-;-;-;1;1;-;2;-;-;-;1;4;2;4;1;2;1;1;1;3;-;24
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;3
"A99   Febres hemorragicas virais NE";-;-;-;1;-;-;-;-;1;2;-;-;-;1;1;-;-;-;-;-;-;6
"B00   Infecc p/virus do herpes";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;3;2;2;4;-;15
"B01   Varicela";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;2;-;1;4;12;-;23
"B05   Sarampo";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B15   Hepatite aguda A";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;2;-;1;1;-;7
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;1;1;2;-;3;-;12
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;-;-;4;3;2;10;17;24;27;20;9;19;-;135
"B19   Hepatite viral NE";-;-;-;-;-;-;-;-;-;1;1;2;-;2;1;2;1;1;2;3;-;16
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;1;-;-;-;-;10;19;26;40;68;64;37;38;42;19;14;5;9;2;394
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;1;1;-;-;2;1;4;1;-;3;-;1;1;-;-;15
