 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Masc
Período:2012
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"A04   Outr infecc intestinais bacter";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;2;2;3;7;-;18
"A05   Outr intox alimentares bacter NCOP";-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;4
"A06   Amebiase";-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;1;-;-;2;3;-;10
"A08   Infecc intestinais virais outr e as NE";-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;6;-;10
"A09   Diarreia e gastroenterite orig infecc presum";-;1;26;6;1;2;1;1;3;2;6;8;9;12;9;10;22;23;27;72;-;241
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;-;-;-;2;4;4;5;15;8;20;24;17;7;5;4;5;-;120
"A16   Tuberc vias respirat s/conf bacter histol";-;-;2;1;-;-;1;5;13;28;29;51;53;77;46;39;32;30;22;21;6;456
"A17   Tuberc do sist nervoso";-;-;-;-;-;1;-;2;2;-;-;-;3;3;1;-;1;-;-;-;-;13
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;1;-;3;1;2;1;1;1;2;1;-;-;3;-;16
"A19   Tuberc miliar";-;-;1;-;-;-;-;-;3;1;6;7;6;2;8;3;4;1;1;2;2;47
"A27   Leptospirose";-;-;-;-;-;-;5;1;1;4;5;9;11;10;2;3;1;1;-;-;-;53
"A30   Hanseniase";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;3
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;2;-;1;2;2;1;1;2;1;4;-;16
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
"A37   Coqueluche";-;1;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"A39   Infecc meningogocica";-;-;10;10;14;14;8;5;8;6;3;4;10;1;1;2;-;-;-;-;-;96
"A40   Septicemia estreptococica";-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;1;2;3;2;8;-;19
"A41   Outr septicemias";-;-;73;19;6;7;10;10;19;33;36;43;51;72;102;115;133;149;153;313;1;1345
"A43   Nocardiose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A46   Erisipela";-;-;-;-;-;-;-;-;-;1;3;5;6;8;14;21;9;19;14;28;1;129
"A48   Outr doenc bacter NCOP";-;-;-;-;-;1;-;-;1;1;1;1;2;4;2;2;3;4;2;12;-;36
"A49   Infecc bacter de localiz NE";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;3;-;-;6
"A50   Sifilis congen";3;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;3
"A69   Outr infecc p/espiroquetas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;3
"A77   Febre maculosa";-;-;-;-;3;1;-;-;2;2;3;5;1;3;2;-;1;-;1;-;-;24
"A79   Outr rickettsioses";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;3
"A86   Encefalite viral NE";-;-;-;-;3;1;3;-;1;1;1;1;5;2;3;1;3;-;1;2;-;28
"A87   Meningite viral";-;-;1;-;-;-;2;-;-;-;3;-;2;1;-;-;-;-;-;-;-;9
"A89   Infecc virais NE do sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A90   Dengue";-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;3
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;5
"A99   Febres hemorragicas virais NE";-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-;-;4
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;1;-;1;-;2;3;-;-;1;1;2;-;11
"B01   Varicela";-;-;3;10;1;-;-;-;1;1;-;1;-;-;-;-;1;-;-;1;-;19
"B02   Herpes zoster";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;2;1;-;7
"B08   Outr inf virais lesoes pele membr muc NCOP";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"B15   Hepatite aguda A";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;1;1;3;1;5;5;3;1;4;5;2;1;-;32
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;-;1;3;7;6;16;3;12;5;3;1;3;-;60
"B18   Hepatite viral cronica";-;-;-;-;-;-;1;-;1;2;13;22;63;79;81;64;43;31;21;14;-;435
"B19   Hepatite viral NE";-;-;1;-;2;-;-;-;1;-;-;4;1;4;4;3;-;-;-;1;-;21
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;4;1;-;3;7;35;81;165;197;238;254;142;87;52;18;13;5;9;1;1312
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;2;2;5;8;6;10;4;3;-;3;-;-;-;-;43
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;1;7;20;25;22;49;41;37;26;9;1;1;3;-;1;243
"B23   Doenc p/HIV result em outr doenc";-;-;-;-;-;-;-;-;-;1;4;4;3;-;1;1;-;-;-;-;-;14
"B24   Doenc p/HIV NE";-;1;-;1;-;1;-;8;15;24;25;27;31;22;15;5;2;2;2;1;-;182
"B25   Doenc p/citomegalovirus";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B26   Caxumba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"B33   Outr doenc p/virus NCOP";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B34   Doenc p/virus de localiz NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2
"B37   Candidiase";-;-;3;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;8
"B39   Histoplasmose";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
"B40   Blastomicose";-;-;-;-;-;-;-;-;1;1;-;1;3;2;3;-;-;-;1;1;-;13
"B41   Paracoccidioidomicose";-;-;-;-;-;-;-;-;-;-;-;1;-;1;4;2;2;1;-;-;-;11
"B44   Aspergilose";-;-;-;-;-;-;1;-;-;-;-;-;1;-;2;1;-;1;-;-;-;6
"B45   Criptococose";-;-;-;-;-;-;-;-;-;2;1;1;1;-;2;4;3;3;-;1;-;18
"B48   Outr micoses NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2
"B49   Micose NE";-;1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"B55   Leishmaniose";-;-;-;-;-;-;-;1;1;-;-;2;3;-;1;-;1;2;1;1;-;13
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;6;13;26;31;44;73;66;64;76;68;84;-;551
"B58   Toxoplasmose";-;-;-;-;-;-;-;-;1;1;2;3;1;-;-;-;1;-;-;1;-;10
"B59   Pneumocistose";-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;2;-;-;-;-;-;6
"B64   Doenc NE dev protozoarios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B65   Esquistossomose";-;-;-;-;-;-;-;-;-;-;2;3;5;3;5;3;4;3;1;-;-;29
"B69   Cisticercose";-;-;-;-;-;-;1;1;-;1;-;-;1;1;-;1;3;-;-;1;-;10
