 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Faixa Etária det
Unidade da Federação: São Paulo
Sexo: Masc
Período:2020
"Categoria CID-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
"A04   Outr infecc intestinais bacter";-;-;3;-;-;-;-;-;1;1;-;2;1;1;3;4;4;6;8;11;34;-;79
"A05   Outr intox alimentares bacter NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A06   Amebiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A08   Infecc intestinais virais outr e as NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;3;-;6
"A09   Diarreia e gastroenterite orig infecc presum";-;-;12;-;3;-;-;-;2;1;3;5;6;4;10;5;21;25;29;31;89;-;246
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;1;-;-;-;-;-;3;2;8;11;19;12;15;28;32;17;14;7;8;1;178
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;-;1;-;-;4;10;21;31;39;40;64;62;53;60;56;33;20;22;8;524
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;-;-;1;-;3;1;3;-;1;-;-;1;-;-;-;-;10
"A18   Tuberc de outr orgaos";-;-;-;-;-;-;-;-;-;-;2;1;1;1;1;2;-;2;-;-;1;-;11
"A19   Tuberc miliar";-;-;-;-;-;-;-;1;-;3;6;3;6;4;10;3;4;-;1;1;3;-;45
"A21   Tularemia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"A25   Febres transm p/mordedura de rato";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A27   Leptospirose";-;-;-;-;-;-;1;1;6;2;2;6;9;5;4;5;8;2;-;-;-;-;51
"A30   Hanseniase";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;3;1;2;1;-;9
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;2;2;1;1;2;6;-;19
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;3
"A35   Outr tipos de tetano";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;4
"A39   Infecc meningogocica";-;1;3;-;3;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"A40   Septicemia estreptococica";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A41   Outr septicemias";-;-;36;-;14;5;4;9;9;24;35;37;58;67;89;133;191;217;245;265;548;3;1989
"A42   Actinomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;3
"A44   Bartonelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A46   Erisipela";-;-;-;-;-;-;-;1;-;1;-;4;6;10;14;21;21;23;23;31;57;-;212
"A48   Outr doenc bacter NCOP";-;1;1;-;-;-;-;-;-;-;-;2;-;1;2;2;2;7;1;6;13;-;38
"A49   Infecc bacter de localiz NE";-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;3;3;5;4;5;11;-;35
"A50   Sifilis congen";12;3;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;19
"A52   Sifilis tard";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;2;-;1;-;6
"A53   Outr form e as NE da sifilis";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
"A64   Doenc sexualmente transm NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"A69   Outr infecc p/espiroquetas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A74   Outr doenc causadas p/Clamidias";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A77   Febre maculosa";-;-;-;-;2;1;2;-;-;1;-;3;2;3;5;3;-;3;-;-;1;-;26
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;1;1;-;1;-;-;4;1;1;5;1;-;1;-;16
"A86   Encefalite viral NE";-;-;-;-;1;-;-;-;-;2;-;3;1;-;3;-;3;1;2;-;4;-;20
"A87   Meningite viral";-;-;1;-;-;-;-;-;-;-;1;1;2;2;-;2;4;-;1;-;-;-;14
"A89   Infecc virais NE do sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"A90   Dengue";-;-;1;-;-;-;-;1;2;3;3;3;1;-;5;-;1;2;5;4;12;-;43
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;-;-;1;1;-;2;1;2;4;2;-;1;-;2;8;6;6;-;36
"A92   Outr febres virais transm p/mosquitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"A96   Febre hemorragica p/arenavirus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"A98   Outr febres hemorragicas p/virus NCOP";-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;2;-;-;-;1;1;-;8
"A99   Febres hemorragicas virais NE";-;-;-;-;-;-;-;-;-;1;-;-;1;1;2;-;-;-;-;-;-;-;5
"B00   Infecc p/virus do herpes";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;1;3;1;8;-;16
"B02   Herpes zoster";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;2;6;-;12
"B05   Sarampo";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B15   Hepatite aguda A";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B16   Hepatite aguda B";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;2;2;1;1;2;-;12
"B17   Outr hepatites virais agudas";-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;3;2;4;1;2;1;-;19
"B18   Hepatite viral cronica";-;-;-;-;-;-;-;-;1;2;-;8;16;24;36;45;54;42;21;11;11;-;271
"B19   Hepatite viral NE";-;-;-;-;-;-;-;-;-;1;2;-;2;3;5;-;1;3;2;1;1;-;21
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;2;-;-;-;-;2;39;73;92;113;124;141;130;95;61;37;28;10;5;1;953
"B21   Doenc p/HIV result em neopl malig";-;-;-;-;-;-;-;-;3;3;7;7;4;6;6;9;6;2;1;1;-;-;55
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;3;5;15;20;15;12;17;23;7;4;5;3;1;-;130
"B23   Doenc p/HIV result em outr doenc";-;-;-;-;-;-;-;-;-;2;3;1;-;1;1;-;-;2;-;-;-;-;10
"B24   Doenc p/HIV NE";-;-;-;-;-;-;-;-;7;14;17;20;30;26;33;34;26;10;11;5;8;-;241
"B25   Doenc p/citomegalovirus";-;-;2;-;-;-;-;-;-;2;-;-;-;1;1;-;-;1;1;1;-;-;9
"B26   Caxumba";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
"B27   Mononucleose infecc";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B33   Outr doenc p/virus NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"B34   Doenc p/virus de localiz NE";-;-;10;-;10;11;13;19;56;119;286;500;791;1091;1567;2212;3168;3788;3855;3400;6383;1;27280
"B37   Candidiase";-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;1;1;5;-;16
"B39   Histoplasmose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"B40   Blastomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;-;-;-;-;5
"B41   Paracoccidioidomicose";-;-;-;-;-;-;-;-;1;-;1;-;-;1;2;1;2;1;-;1;-;-;10
"B42   Esporotricose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;3
"B43   Cromomicose e abscesso feomicotico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B44   Aspergilose";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;2;1;1;1;-;8
"B45   Criptococose";-;-;-;-;-;-;-;-;-;-;2;1;2;4;4;1;4;5;2;1;3;-;29
"B46   Zigomicose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"B49   Micose NE";-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;4
"B55   Leishmaniose";-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;5
"B57   Doenc de Chagas";-;-;-;-;-;-;-;-;-;-;1;4;9;19;27;37;49;56;69;53;127;-;451
"B58   Toxoplasmose";-;-;1;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;4
"B59   Pneumocistose";-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;1;-;-;-;5
"B65   Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;1;5;7;4;-;9;2;3;-;-;31
"B69   Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;4
"B78   Estrongiloidiase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"B87   Miiase";-;-;-;-;-;1;-;-;-;-;1;2;1;-;-;-;-;-;1;-;1;-;7
"B90   Sequelas de tuberc";-;-;-;-;-;-;-;1;-;1;-;1;-;3;3;4;1;6;1;2;6;-;29
"B91   Sequelas de poliomielite";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;2;1;-;-;9
"B92   Sequelas de hanseniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;3
"B94   Sequelas de outr doenc infecc e parasit e NE";-;-;-;-;-;-;-;-;-;1;-;-;1;1;2;5;2;3;2;4;5;-;26
"B99   Doenc infecc outr e as NE";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;1;-;4
"C00   Neopl malig do labio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;2;1;-;8
"C01   Neopl malig da base da lingua";-;-;-;-;-;-;-;-;-;1;-;1;3;9;12;14;13;8;9;7;8;-;85
"C02   Neopl malig outr partes e NE da lingua";-;-;-;-;-;-;-;-;1;-;1;4;5;16;31;50;50;41;29;23;24;-;275
"C03   Neopl malig da gengiva";-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;1;-;1;-;1;1;-;9
"C04   Neopl malig do assoalho da boca";-;-;-;-;-;-;-;-;-;-;-;-;1;3;5;6;8;6;2;7;6;-;44
"C05   Neopl malig do palato";-;-;-;-;-;-;-;-;-;-;-;-;4;3;6;9;15;9;5;9;14;-;74
"C06   Neopl malig outr partes e partes NE da boca";-;-;-;-;-;-;-;-;-;1;1;1;5;11;27;22;22;29;15;12;16;-;162
